NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
ALKYLAMINE,ALKYLAMINE,1148673,4487,ALKYL AMINES CHEM.,EQ,NSE,NSE
ALLCARGO,ALLCARGO,3456257,13501,ALLCARGO LOGISTICS,EQ,NSE,NSE
ALLSEC,ALLSEC,3020289,11798,ALLSEC TECHNOLOGIES,EQ,NSE,NSE
ALMONDZ,ALMONDZ,4280065,16719,ALMONDZ GLOBAL SEC,EQ,NSE,NSE
ALOKINDS,ALOKINDS,4524801,17675,ALOK INDUSTRIES,EQ,NSE,NSE
ALPA,ALPA,3801089,14848,ALPA LABORATORIES,EQ,NSE,NSE
ALPHAGEO,ALPHAGEO,3736833,14597,ALPHAGEO (INDIA),EQ,NSE,NSE
ALPSINDUS,ALPSINDUS-BE,1951489,7623,ALPS INDUSTRIES.,EQ,NSE,NSE
AMARAJABAT,AMARAJABAT,25601,100,AMARA RAJA BATTERIES.,EQ,NSE,NSE
AMBER,AMBER,303361,1185,AMBER ENTERPRISES (I),EQ,NSE,NSE
AMBICAAGAR,AMBICAAGAR,2942977,11496,AMBICA AGAR & AROMAINDLTD,EQ,NSE,NSE
AMBIKCO,AMBIKCO,3899905,15234,AMBIKA COTTON MILL.,EQ,NSE,NSE
AMBUJACEM,AMBUJACEM,325121,1270,AMBUJA CEMENTS,EQ,NSE,NSE
AMDIND,AMDIND,3685889,14398,AMD INDUSTRIES,EQ,NSE,NSE
AMIORG,AMIORG,1427969,5578,AMI ORGANICS,EQ,NSE,NSE
AMJLAND,AMJLAND,665089,2598,AMJ LAND HOLDINGS,EQ,NSE,NSE
AMRUTANJAN,AMRUTANJAN,4492033,17547,AMRUTAJAN HEALTH,EQ,NSE,NSE
ANANTRAJ,ANANTRAJ-BE,3485953,13617,ANANT RAJ,EQ,NSE,NSE
ANDHRACEMT,ANDHRACEMT,5227265,20419,ANDHRA CEMENTS,EQ,NSE,NSE
ANDHRAPAP,ANDHRAPAP,42497,166,ANDHRA PAPER,EQ,NSE,NSE
ANDHRSUGAR,ANDHRSUGAR,34817,136,ANDHRA SUGARS,EQ,NSE,NSE
ANDREWYU,ANDREWYU,1332737,5206,ANDREW YULE & CO,EQ,NSE,NSE
ANGELBRKG,ANGELBRKG,82945,324,ANGEL BROKING,EQ,NSE,NSE
ANIKINDS,ANIKINDS,4264193,16657,ANIK INDUSTRIES,EQ,NSE,NSE
ANKITMETAL,ANKITMETAL,7534081,29430,ANKIT MET & POW,EQ,NSE,NSE
ANMOL,ANMOL,954113,3727,ANMOL INDIA,EQ,NSE,NSE
ANSALAPI,ANSALAPI,37889,148,ANSAL PROP & INFRA,EQ,NSE,NSE
ANSALHSG,ANSALHSG,3500289,13673,ANSAL HOUSING,EQ,NSE,NSE
ANTGRAPHIC,ANTGRAPHIC-BE,2120961,8285,ANTARCTICA,EQ,NSE,NSE
ANUP,ANUP,2307585,9014,THE ANUP ENGINEERING,EQ,NSE,NSE
ANURAS,ANURAS,724225,2829,ANUPAM RASAYAN INDIA,EQ,NSE,NSE
APARINDS,APARINDS,2941697,11491,APAR INDUSTRIES.,EQ,NSE,NSE
APCL,APCL,5235969,20453,ANJANI PORTLAND CEM,EQ,NSE,NSE
APCOTEXIND,APCOTEXIND,39425,154,APCOTEX INDUSTRIES LIMITE,EQ,NSE,NSE
APEX,APEX,5535489,21623,APEX FROZEN FOODS,EQ,NSE,NSE
APLAPOLLO,APLAPOLLO,6599681,25780,APL APOLLO TUBES,EQ,NSE,NSE
APLLTD,APLLTD,6483969,25328,ALEMBIC PHARMA,EQ,NSE,NSE
APOLLO,APOLLO,290305,1134,APOLLO MICRO SYSTEMS,EQ,NSE,NSE
APOLLOHOSP,APOLLOHOSP,40193,157,APOLLO HOSPITALS ENTER. L,EQ,NSE,NSE
APOLLOPIPE,APOLLOPIPE,3676417,14361,APOLLO PIPES,EQ,NSE,NSE
APOLLOTYRE,APOLLOTYRE,41729,163,APOLLO TYRES,EQ,NSE,NSE
APOLSINHOT,APOLSINHOT,1613313,6302,APOLLO SINDOORI HOTEL,EQ,NSE,NSE
APTECHT,APTECHT,2753281,10755,APTECH,EQ,NSE,NSE
APTUS,APTUS,1391361,5435,APTUS VALUE HSG FIN I,EQ,NSE,NSE
ARCHIDPLY,ARCHIDPLY,4299521,16795,ARCHIDPLY IND.,EQ,NSE,NSE
ARCHIES,ARCHIES,1456129,5688,ARCHIES,EQ,NSE,NSE
ARENTERP,ARENTERP,46337,181,RAJDARSHAN INDUSTRIES,EQ,NSE,NSE
ARIES,ARIES,3892225,15204,ARIES AGRO.,EQ,NSE,NSE
ARIHANT,ARIHANT,3554561,13885,ARIHANT FOUN & HOU,EQ,NSE,NSE
ARIHANTCAP,ARIHANTCAP,976129,3813,ARIHANT CAPITAL MKTS,EQ,NSE,NSE
ARIHANTSUP,ARIHANTSUP,5160705,20159,ARIHANT SUPERSTRUCT,EQ,NSE,NSE
ARMANFIN,ARMANFIN,4419329,17263,ARMAN FIN SERV,EQ,NSE,NSE
AROGRANITE,AROGRANITE,3726593,14557,ARO GRANITE IND..,EQ,NSE,NSE
ARROWGREEN,ARROWGREEN,2370561,9260,ARROW GREENTECH,EQ,NSE,NSE
ARSHIYA,ARSHIYA,4562177,17821,ARSHIYA,EQ,NSE,NSE
ARSSINFRA,ARSSINFRA,4659713,18202,ARSS INFRA PROJ.,EQ,NSE,NSE
ARTEMISMED,ARTEMISMED,4329729,16913,ARTEMIS MED SERVICE,EQ,NSE,NSE
ARTNIRMAN,ARTNIRMAN,1575937,6156,ART NIRMAN,EQ,NSE,NSE
ARVEE,ARVEE,720385,2814,ARVEE LABORATORIES I,EQ,NSE,NSE
ARVIND,ARVIND,49409,193,ARVIND,EQ,NSE,NSE
ARVINDFASN,ARVINDFASN,2332417,9111,ARVIND FASHIONS,EQ,NSE,NSE
ARVSMART,ARVSMART-BE,2679041,10465,ARVIND SMARTSPACES,EQ,NSE,NSE
ASAHIINDIA,ASAHIINDIA,1376769,5378,ASAHI INDIA GLASS,EQ,NSE,NSE
ASAHISONG,ASAHISONG,6422529,25088,ASAHI SONGWON COLOR,EQ,NSE,NSE
ASAL,ASAL,2722305,10634,AUTOMOTIVE STAMPINGS & AS,EQ,NSE,NSE
ASALCBR,ASALCBR,4505089,17598,ASSO ALCOHOLS & BREW,EQ,NSE,NSE
ASHAPURMIN,ASHAPURMIN,51969,203,ASHAPURA MINECHEM,EQ,NSE,NSE
ASHIANA,ASHIANA,6247169,24403,ASHIANA HOUSING,EQ,NSE,NSE
ASHIMASYN,ASHIMASYN,52737,206,ASHIMA,EQ,NSE,NSE
ASHOKA,ASHOKA,5166593,20182,ASHOKA BUILDCON,EQ,NSE,NSE
