NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
CEREBRAINT,CEREBRAINT,7683073,30012,CEREBRA INT TECH,EQ,NSE,NSE
CESC,CESC,160769,628,CESC,EQ,NSE,NSE
CGCL,CGCL,5204225,20329,CAPRI GLOBAL CAPITAL,EQ,NSE,NSE
CGPOWER,CGPOWER-BE,1258753,4917,CG POWER AND IND SOL,EQ,NSE,NSE
CHALET,CHALET,2187777,8546,CHALET HOTELS,EQ,NSE,NSE
CHAMBLFERT,CHAMBLFERT,163073,637,CHAMBAL FERTILIZERS,EQ,NSE,NSE
CHEMBOND,CHEMBOND,3742209,14618,CHEMBOND CHEMICALS,EQ,NSE,NSE
CHEMCON,CHEMCON,69121,270,CHEMCON SPECIAL CHEM,EQ,NSE,NSE
CHEMFAB,CHEMFAB,716545,2799,CHEMFAB ALKALIS,EQ,NSE,NSE
CHEMPLASTS,CHEMPLASTS,1394945,5449,CHEMPLAST SANMAR,EQ,NSE,NSE
CHENNPETRO,CHENNPETRO,524545,2049,CHENNAI PETROLEUM CORP LT,EQ,NSE,NSE
CHOLAFIN,CHOLAFIN,175361,685,CHOLAMANDALAM IN & FIN CO,EQ,NSE,NSE
CHOLAHLDNG,CHOLAHLDNG,5565441,21740,CHOLAMANDALAM FIN HOL,EQ,NSE,NSE
CIGNITITEC,CIGNITITEC,1316353,5142,CIGNITI TECHNOLOGIES,EQ,NSE,NSE
CINELINE,CINELINE,6953217,27161,CINELINE INDIA,EQ,NSE,NSE
CINEVISTA,CINEVISTA,2054145,8024,CINEVISTA,EQ,NSE,NSE
CIPLA,CIPLA,177665,694,CIPLA,EQ,NSE,NSE
CLEAN,CLEAN,1292545,5049,CLEAN SCIENCE & TECH,EQ,NSE,NSE
CLEDUCATE,CLEDUCATE-BE,5179649,20233,CL EDUCATE,EQ,NSE,NSE
CLNINDIA,CLNINDIA,183041,715,CLARIANT CHEMICALS (INDIA,EQ,NSE,NSE
CLSEL,CLSEL,891393,3482,CHAMAN LAL SETIA EXP,EQ,NSE,NSE
CMICABLES,CMICABLES,4898049,19133,CMI,EQ,NSE,NSE
COALINDIA,COALINDIA,5215745,20374,COAL INDIA,EQ,NSE,NSE
COASTCORP,COASTCORP,1537537,6006,COASTAL CORPORATION,EQ,NSE,NSE
COCHINSHIP,COCHINSHIP,5506049,21508,COCHIN SHIPYARD,EQ,NSE,NSE
COFFEEDAY,COFFEEDAY,2858241,11165,COFFEE DAY ENTERPRISE,EQ,NSE,NSE
COFORGE,COFORGE,2955009,11543,COFORGE,EQ,NSE,NSE
COLPAL,COLPAL,3876097,15141,COLGATE PALMOLIVE.,EQ,NSE,NSE
COMPINFO,COMPINFO,4513793,17632,COMPUAGE INFOCOM,EQ,NSE,NSE
COMPUSOFT,COMPUSOFT,7971329,31138,COMPUCOM SOFTWARE,EQ,NSE,NSE
CONCOR,CONCOR,1215745,4749,CONTAINER CORP OF IND,EQ,NSE,NSE
CONFIPET,CONFIPET,2620929,10238,CONFIDENCE PETRO IND.,EQ,NSE,NSE
CONSOFINVT,CONSOFINVT,3003137,11731,CONSO. FIN. & HOLD..,EQ,NSE,NSE
CONTROLPR,CONTROLPR,4474113,17477,CONTROL PRINT,EQ,NSE,NSE
CORALFINAC,CORALFINAC,1025793,4007,CORAL INDIA FIN & HOUS LT,EQ,NSE,NSE
CORDSCABLE,CORDSCABLE,3909377,15271,CORDS CABLE INDUS.,EQ,NSE,NSE
COROMANDEL,COROMANDEL,189185,739,COROMANDEL INTERNTL.,EQ,NSE,NSE
COSMOFILMS,COSMOFILMS,189953,742,COSMO FILMS,EQ,NSE,NSE
COUNCODOS,COUNCODOS,4348417,16986,COUNTRY CONDO'S,EQ,NSE,NSE
COX&KINGS,COX&KINGS-BZ,4063745,15874,,EQ,NSE,NSE
CRAFTSMAN,CRAFTSMAN,730625,2854,CRAFTSMAN AUTOMATION,EQ,NSE,NSE
CREATIVE,CREATIVE,2855681,11155,CREATIVE NEWTECH,EQ,NSE,NSE
CREATIVEYE,CREATIVEYE-BE,2403329,9388,CREATIVE EYE,EQ,NSE,NSE
CREDITACC,CREDITACC,1131777,4421,CREDITACCESS GRAMEEN,EQ,NSE,NSE
CREST,CREST,3558401,13900,CREST VENTURES,EQ,NSE,NSE
CRISIL,CRISIL,193793,757,CRISIL,EQ,NSE,NSE
CROMPTON,CROMPTON,4376065,17094,CROMPT GREA CON ELEC,EQ,NSE,NSE
CSBBANK,CSBBANK,3831297,14966,CSB BANK,EQ,NSE,NSE
CTE,CTE,3639809,14218,CAMBRIDGE TECH ENTER,EQ,NSE,NSE
CUB,CUB,1459457,5701,CITY UNION BANK,EQ,NSE,NSE
CUBEXTUB,CUBEXTUB,1040385,4064,CUBEX TUBINGS,EQ,NSE,NSE
CUMMINSIND,CUMMINSIND,486657,1901,CUMMINS INDIA,EQ,NSE,NSE
CUPID,CUPID,4741121,18520,CUPID,EQ,NSE,NSE
CYBERMEDIA,CYBERMEDIA,3031553,11842,CYBER MEDIA (INDIA).,EQ,NSE,NSE
CYBERTECH,CYBERTECH,1549057,6051,CYBERTECH SYSTEMS & SOFTW,EQ,NSE,NSE
CYIENT,CYIENT,1471489,5748,CYIENT,EQ,NSE,NSE
DAAWAT,DAAWAT,3536897,13816,LT FOODS,EQ,NSE,NSE
DABUR,DABUR,197633,772,DABUR INDIA,EQ,NSE,NSE
DALBHARAT,DALBHARAT,2067201,8075,DALMIA BHARAT,EQ,NSE,NSE
DALMIASUG,DALMIASUG,199937,781,DALMIA BHARAT SUG IN,EQ,NSE,NSE
DAMODARIND,DAMODARIND,4490497,17541,DAMODAR INDUSTRIES,EQ,NSE,NSE
DANGEE,DANGEE,284161,1110,DANGEE DUMS,EQ,NSE,NSE
DATAMATICS,DATAMATICS,2924289,11423,DATAMATICS GLOBAL SER,EQ,NSE,NSE
DBCORP,DBCORP,4577537,17881,D.B.CORP,EQ,NSE,NSE
DBL,DBL,4630017,18086,DILIP BUILDCON,EQ,NSE,NSE
DBREALTY,DBREALTY,4639745,18124,D B REALTY,EQ,NSE,NSE
DBSTOCKBRO,DBSTOCKBRO,7963393,31107,DB (INT) STOCK BROKERS,EQ,NSE,NSE
DCAL,DCAL,5556225,21704,DISHMAN CARBO AMCIS,EQ,NSE,NSE
DCBBANK,DCBBANK,3513601,13725,DCB BANK,EQ,NSE,NSE
DCM,DCM,206081,805,DCM,EQ,NSE,NSE
DCMFINSERV,DCMFINSERV,1222401,4775,DCM FINANCIAL SERVICES LT,EQ,NSE,NSE
DCMNVL,DCMNVL,2825985,11039,DCM NOUVELLE,EQ,NSE,NSE
DCMSHRIRAM,DCMSHRIRAM,207617,811,DCM SHRIRAM,EQ,NSE,NSE
DCW,DCW-BE,1739521,6795,DCW,EQ,NSE,NSE
DECCANCE,DECCANCE,3798529,14838,DECCAN CEMENTS,EQ,NSE,NSE
DEEPAKFERT,DEEPAKFERT,211713,827,DEEPAK FERTILIZERS & PETR,EQ,NSE,NSE
DEEPAKNTR,DEEPAKNTR,5105409,19943,DEEPAK NITRITE,EQ,NSE,NSE
DEEPENR,DEEPENR,4670465,18244,DEEP ENE RESOURCES,EQ,NSE,NSE
DEEPINDS,DEEPINDS,842753,3292,DEEP INDUSTRIES,EQ,NSE,NSE
DELPHIFX,DELPHIFX,6244097,24391,DELPHI WORLD MONEY,EQ,NSE,NSE
DELTACORP,DELTACORP,3851265,15044,DELTA CORP,EQ,NSE,NSE
DELTAMAGNT,DELTAMAGNT,310785,1214,DELTA MANUFACTURING,EQ,NSE,NSE
DEN,DEN,4536833,17722,DEN NETWORKS,EQ,NSE,NSE
DENORA,DENORA,1095425,4279,DE NORA INDIA,EQ,NSE,NSE
DEVYANI,DEVYANI,1375489,5373,DEVYANI INTERNATIONAL,EQ,NSE,NSE
DFMFOODS,DFMFOODS,4933377,19271,DFM FOODS,EQ,NSE,NSE
DGCONTENT,DGCONTENT,2648577,10346,DIGICONTENT,EQ,NSE,NSE
DHAMPURSUG,DHAMPURSUG,219393,857,DHAMPUR SUGAR MILLS.,EQ,NSE,NSE
DHANBANK,DHANBANK,2907905,11359,DHANLAXMI BANK,EQ,NSE,NSE
DHANI,DHANI,3938305,15384,DHANI SERVICES,EQ,NSE,NSE
DHANUKA,DHANUKA,6248705,24409,DHANUKA AGRITECH,EQ,NSE,NSE
DHARSUGAR,DHARSUGAR,221697,866,DHARANI SUGARS & CHEMICAL,EQ,NSE,NSE
DHUNINV,DHUNINV,5691649,22233,DHUNSERI INVESTMENTS,EQ,NSE,NSE
DIAMONDYD,DIAMONDYD,5591041,21840,PRATAAP SNACKS,EQ,NSE,NSE
DICIND,DICIND,179969,703,DIC INDIA,EQ,NSE,NSE
DIGISPICE,DIGISPICE,4270849,16683,DIGISPICE TECHNOLOGIES LT,EQ,NSE,NSE
DIGJAMLMTD,DIGJAMLMTD,1568513,6127,DIGJAM,EQ,NSE,NSE
DISHTV,DISHTV-BE,3722241,14540,DISH TV INDIA.,EQ,NSE,NSE
DIVISLAB,DIVISLAB,2800641,10940,DIVI'S LABORATORIES,EQ,NSE,NSE
DIXON,DIXON,5552641,21690,DIXON TECHNO (INDIA),EQ,NSE,NSE
DLF,DLF,3771393,14732,DLF,EQ,NSE,NSE
DLINKINDIA,DLINKINDIA,4569857,17851,D-LINK INDIA,EQ,NSE,NSE
DMART,DMART,5097729,19913,AVENUE SUPERMARTS,EQ,NSE,NSE
DNAMEDIA,DNAMEDIA,164097,641,DILIGENT MEDIA CORP.,EQ,NSE,NSE
DODLA,DODLA,1234433,4822,DODLA DAIRY,EQ,NSE,NSE
DOLAT,DOLAT,3103745,12124,DOLAT INVESTMENTS,EQ,NSE,NSE
DOLLAR,DOLLAR,5263361,20560,DOLLAR INDUSTRIES,EQ,NSE,NSE
DONEAR,DONEAR,3542785,13839,DONEAR IND.,EQ,NSE,NSE
DPABHUSHAN,DPABHUSHAN,239617,936,D. P. ABHUSHAN,EQ,NSE,NSE
DPSCLTD,DPSCLTD,3947265,15419,DPSC,EQ,NSE,NSE
DPWIRES,DPWIRES,4326401,16900,D P WIRES,EQ,NSE,NSE
DRCSYSTEMS,DRCSYSTEMS-BE,678657,2651,DRC SYSTEMS INDIA,EQ,NSE,NSE
DREDGECORP,DREDGECORP,2885377,11271,DREDGING CORP OF INDIA,EQ,NSE,NSE
DRREDDY,DRREDDY,225537,881,DR. REDDY'S LABORATORIES,EQ,NSE,NSE
DSSL,DSSL,6576641,25690,DYNACONS SYS & SOLN,EQ,NSE,NSE
DTIL,DTIL,1594113,6227,DHUNSERI TEA & IND..,EQ,NSE,NSE
DUCON,DUCON,7411713,28952,DUCON INFRATECHNOLOGIES L,EQ,NSE,NSE
DVL,DVL,3894785,15214,DHUNSERI VENTURES,EQ,NSE,NSE
DWARKESH,DWARKESH,2986753,11667,DWARIKESH SUGAR IND,EQ,NSE,NSE
DYNAMATECH,DYNAMATECH-BE,2101505,8209,DYNAMATIC TECHNOLOGIES,EQ,NSE,NSE
DYNPRO,DYNPRO,5456385,21314,DYNEMIC PRODUCTS,EQ,NSE,NSE
EASEMYTRIP,EASEMYTRIP-BE,715777,2796,EASY TRIP PLANNERS,EQ,NSE,NSE
EASTSILK,EASTSILK,232193,907,EASTERN SILK INDUSTRIES L,EQ,NSE,NSE
EASUNREYRL,EASUNREYRL-BZ,1009921,3945,,EQ,NSE,NSE
ECLERX,ECLERX,3885825,15179,ECLERX SERVICES,EQ,NSE,NSE
EDELWEISS,EDELWEISS,3870465,15119,EDELWEISS FIN SERV,EQ,NSE,NSE
EDUCOMP,EDUCOMP-BZ,5567233,21747,,EQ,NSE,NSE
EICHERMOT,EICHERMOT,232961,910,EICHER MOTORS,EQ,NSE,NSE
EIDPARRY,EIDPARRY,234497,916,EID PARRY INDIA,EQ,NSE,NSE
EIFFL,EIFFL,1546241,6040,EURO (I) FRESH FOODS,EQ,NSE,NSE
EIHAHOTELS,EIHAHOTELS,3942145,15399,EIH ASSOCIATED HOTELS,EQ,NSE,NSE
EIHOTEL,EIHOTEL,235265,919,EIH,EQ,NSE,NSE
EIMCOELECO,EIMCOELECO,1034241,4040,EIMCO ELECON (INDIA),EQ,NSE,NSE
EKC,EKC,3351297,13091,EVEREST KANTO CYLINDERLTD,EQ,NSE,NSE
ELECON,ELECON,3492609,13643,ELECON ENG. CO.,EQ,NSE,NSE
ELECTCAST,ELECTCAST,237569,928,ELECTROSTEEL CASTINGS,EQ,NSE,NSE
ELECTHERM,ELECTHERM,1144065,4469,ELECTROTHERM (I).,EQ,NSE,NSE
ELGIEQUIP,ELGIEQUIP,239873,937,ELGI EQUIPMENTS,EQ,NSE,NSE
ELGIRUBCO,ELGIRUBCO,6380545,24924,ELGI RUBBER CO.,EQ,NSE,NSE
EMAMILTD,EMAMILTD,3460353,13517,EMAMI,EQ,NSE,NSE
EMAMIPAP,EMAMIPAP,2578945,10074,EMAMI PAPER MILLS,EQ,NSE,NSE
EMAMIREAL,EMAMIREAL,4934913,19277,EMAMI REALTY,EQ,NSE,NSE
EMKAY,EMKAY,3435777,13421,EMKAY GLOBAL FIN SERV,EQ,NSE,NSE
EMMBI,EMMBI,4644353,18142,EMMBI INDUSTRIES,EQ,NSE,NSE
ENDURANCE,ENDURANCE,4818433,18822,ENDURANCE TECHNO..,EQ,NSE,NSE
ENERGYDEV,ENERGYDEV,3852545,15049,ENERGY DEVE. CO.LTD,EQ,NSE,NSE
ENGINERSIN,ENGINERSIN,1256193,4907,ENGINEERS INDIA,EQ,NSE,NSE
ENIL,ENIL,3377153,13192,ENTERTAIN NET. IND..,EQ,NSE,NSE
EPL,EPL,251137,981,EPL,EQ,NSE,NSE
EQUITAS,EQUITAS,4314113,16852,EQUITAS HOLDINGS,EQ,NSE,NSE
EQUITASBNK,EQUITASBNK,233729,913,EQUITAS SMALL FIN BNK,EQ,NSE,NSE
ERIS,ERIS,5415425,21154,ERIS LIFESCIENCES,EQ,NSE,NSE
EROSMEDIA,EROSMEDIA,5140481,20080,EROS INTL MEDIA,EQ,NSE,NSE
ESABINDIA,ESABINDIA,244481,955,ESAB INDIA,EQ,NSE,NSE
ESCORTS,ESCORTS,245249,958,ESCORTS INDIA,EQ,NSE,NSE
ESSARSHPNG,ESSARSHPNG,6562305,25634,ESSAR SHIPPING,EQ,NSE,NSE
ESTER,ESTER,6211841,24265,ESTER INDUSTRIES,EQ,NSE,NSE
EUROTEXIND,EUROTEXIND-BE,2274817,8886,EUROTEX IND & EXPORTS,EQ,NSE,NSE
EVEREADY,EVEREADY,3016193,11782,EVEREADY INDS. IND. .,EQ,NSE,NSE
EVERESTIND,EVERESTIND,254209,993,EVEREST INDUSTRIES,EQ,NSE,NSE
EXCEL,EXCEL,4448257,17376,EXCEL REALTY N INFRA,EQ,NSE,NSE
EXCELINDUS,EXCELINDUS,2936577,11471,EXCEL INDUSTRIES,EQ,NSE,NSE
EXIDEIND,EXIDEIND,173057,676,EXIDE INDUSTRIES,EQ,NSE,NSE
EXPLEOSOL,EXPLEOSOL,4476417,17486,EXPLEO SOLUTIONS,EQ,NSE,NSE
EXXARO,EXXARO,1370113,5352,EXXARO TILES,EQ,NSE,NSE
FACT,FACT,258049,1008,FACT,EQ,NSE,NSE
FAIRCHEMOR,FAIRCHEMOR,413185,1614,FAIRCHEM ORGANICS,EQ,NSE,NSE
FCL,FCL,1586689,6198,FINEOTEX CHEMICAL,EQ,NSE,NSE
FCONSUMER,FCONSUMER,7689729,30038,FUTURE CONSUMER,EQ,NSE,NSE
FCSSOFT,FCSSOFT,3071745,11999,FCS SOFTWARE SOLN..,EQ,NSE,NSE
FDC,FDC,1253889,4898,FDC,EQ,NSE,NSE
FEDERALBNK,FEDERALBNK,261889,1023,FEDERAL BANK,EQ,NSE,NSE
FEL,FEL,2692097,10516,FUTURE ENTERPRISES,EQ,NSE,NSE
FELDVR,FELDVR,4352513,17002,FUTURE ENTERPRISES,EQ,NSE,NSE
FIEMIND,FIEMIND,3509761,13710,FIEM INDUSTRIES,EQ,NSE,NSE
FILATEX,FILATEX,6280193,24532,FILATEX INDIA,EQ,NSE,NSE
FINCABLES,FINCABLES,265729,1038,FINOLEX CABLES,EQ,NSE,NSE
FINEORG,FINEORG,958465,3744,FINE ORGANIC IND..,EQ,NSE,NSE
FINPIPE,FINPIPE,266497,1041,FINOLEX INDUSTRIES,EQ,NSE,NSE
FLEXITUFF,FLEXITUFF,6531073,25512,FLEXITUFF VENTURES INT L,EQ,NSE,NSE
FLFL,FLFL,7872513,30752,FUT LIFESTYLE FASH,EQ,NSE,NSE
FLUOROCHEM,FLUOROCHEM,3520001,13750,GUJARAT FLUOROCHEM,EQ,NSE,NSE
FMGOETZE,FMGOETZE,304641,1190,FEDERAL-MOGUL GOETZE (IND,EQ,NSE,NSE
FMNL,FMNL,5380353,21017,FUTURE MKT NETWORKS,EQ,NSE,NSE
FORCEMOT,FORCEMOT,2962689,11573,FORCE MOTORS,EQ,NSE,NSE
FORTIS,FORTIS,3735553,14592,FORTIS HEALTHCARE,EQ,NSE,NSE
FOSECOIND,FOSECOIND,274689,1073,FOSECO INDIA,EQ,NSE,NSE
FRETAIL,FRETAIL,4704769,18378,FUTURE RETAIL,EQ,NSE,NSE
FSC,FSC,190465,744,FUTURE SUPP CHAIN SOL,EQ,NSE,NSE
FSL,FSL,3661825,14304,FIRSTSOURCE SOLU..,EQ,NSE,NSE
GABRIEL,GABRIEL,277761,1085,GABRIEL INDIA,EQ,NSE,NSE
GAEL,GAEL,2259969,8828,GUJARAT AMBUJA EXPORTS LT,EQ,NSE,NSE
GAIL,GAIL,1207553,4717,GAIL (INDIA),EQ,NSE,NSE
GAL,GAL,5195777,20296,GYSCOAL ALLOYS,EQ,NSE,NSE
GALAXYSURF,GALAXYSURF,336641,1315,GALAXY SURFACTANTS,EQ,NSE,NSE
GALLANTT,GALLANTT,3414273,13337,GALLANTT METAL,EQ,NSE,NSE
GALLISPAT,GALLISPAT,5155841,20140,GALLANTT ISPAT,EQ,NSE,NSE
GANDHITUBE,GANDHITUBE,3613697,14116,GANDHI SPL. TUBES,EQ,NSE,NSE
GANECOS,GANECOS,1777665,6944,GANESHA ECOSPHERE,EQ,NSE,NSE
GANESHBE,GANESHBE,1437185,5614,GANESH BENZOPLAST,EQ,NSE,NSE
GANESHHOUC,GANESHHOUC,3670785,14339,GANESH HOUSING CORP,EQ,NSE,NSE
GANGAFORGE,GANGAFORGE,1268993,4957,GANGA FORGING,EQ,NSE,NSE
GANGESSECU,GANGESSECU,5478145,21399,GANGES SECURITIES,EQ,NSE,NSE
GARFIBRES,GARFIBRES,281601,1100,GARWARE TECH FIBRES,EQ,NSE,NSE
GATI,GATI,3504129,13688,GATI,EQ,NSE,NSE
GAYAHWS,GAYAHWS-BE,946945,3699,GAYATRI HIGHWAYS,EQ,NSE,NSE
GAYAPROJ,GAYAPROJ,6405889,25023,GAYATRI PROJECTS,EQ,NSE,NSE
GDL,GDL,3004161,11735,GATEWAY DISTRIPARKS.,EQ,NSE,NSE
GEECEE,GEECEE,3496449,13658,GEECEE VENTURES,EQ,NSE,NSE
GEEKAYWIRE,GEEKAYWIRE,4588033,17922,GEEKAY WIRES,EQ,NSE,NSE
GENCON,GENCON,560129,2188,GENERIC ENG CONS PROJ,EQ,NSE,NSE
GENESYS,GENESYS,2791681,10905,GENESYS INTL CORPN,EQ,NSE,NSE
GENUSPAPER,GENUSPAPER,1689601,6600,GENUS P&B,EQ,NSE,NSE
GENUSPOWER,GENUSPOWER,3047681,11905,GENUS POWER INFRASTRU,EQ,NSE,NSE
GEOJITFSL,GEOJITFSL,3045377,11896,GEOJIT FINANCIAL SER L,EQ,NSE,NSE
GEPIL,GEPIL,2012673,7862,GE POWER INDIA,EQ,NSE,NSE
GESHIP,GESHIP,3526657,13776,THE GE SHPG.LTD,EQ,NSE,NSE
GET&D,GET&D,4296449,16783,GE T&D INDIA,EQ,NSE,NSE
GFLLIMITED,GFLLIMITED,329985,1289,GFL,EQ,NSE,NSE
GFSTEELS,GFSTEELS-BE,2836225,11079,GRAND FOUNDRY,EQ,NSE,NSE
GHCL,GHCL,288513,1127,GHCL,EQ,NSE,NSE
GICHSGFIN,GICHSGFIN,291585,1139,GIC HOUSING FINANCE,EQ,NSE,NSE
GICRE,GICRE,70913,277,GENERAL INS CORP OF INDIA,EQ,NSE,NSE
GILLANDERS,GILLANDERS,4566785,17839,GILLANDERS ARBUTHNOT,EQ,NSE,NSE
GILLETTE,GILLETTE,403457,1576,GILLETTE INDIA,EQ,NSE,NSE
GINNIFILA,GINNIFILA,292353,1142,GINNI FILAMENTS,EQ,NSE,NSE
GIPCL,GIPCL,293121,1145,GUJ IND POW CO.,EQ,NSE,NSE
GKWLIMITED,GKWLIMITED,4443393,17357,GKW,EQ,NSE,NSE
GLAND,GLAND,303617,1186,GLAND PHARMA,EQ,NSE,NSE
GLAXO,GLAXO,295169,1153,GLAXOSMITHKLINE PHARMA LT,EQ,NSE,NSE
GLENMARK,GLENMARK,1895937,7406,GLENMARK PHARMACEUTICALS,EQ,NSE,NSE
GLFL,GLFL,295937,1156,GUJARAT LEASE FINANCING L,EQ,NSE,NSE
GLOBAL,GLOBAL,362241,1415,GLOBAL EDUCATION,EQ,NSE,NSE
GLOBALVECT,GLOBALVECT,3516161,13735,GLOBAL VEC HELICORP,EQ,NSE,NSE
GLOBE,GLOBE,100609,393,GLOBE TEXTILES (I).,EQ,NSE,NSE
GLOBUSSPR,GLOBUSSPR,4460545,17424,GLOBUS SPIRITS,EQ,NSE,NSE
GLS,GLS,1347841,5265,GLENMARK LIFE SCIENCE,EQ,NSE,NSE
GMBREW,GMBREW,299009,1168,G M BREWERIES,EQ,NSE,NSE
GMDCLTD,GMDCLTD,1332225,5204,GUJARAT MINERAL DEV CORP,EQ,NSE,NSE
GMMPFAUDLR,GMMPFAUDLR,401921,1570,GMM PFAUDLER,EQ,NSE,NSE
GMRINFRA,GMRINFRA,3463169,13528,GMR INFRASTRUCTURE.,EQ,NSE,NSE
GNA,GNA,4754177,18571,GNA AXLES,EQ,NSE,NSE
GNFC,GNFC,300545,1174,GUJ NAR VAL FER & CHEM L,EQ,NSE,NSE
GOACARBON,GOACARBON,3759873,14687,GOA CARBON,EQ,NSE,NSE
GOCLCORP,GOCLCORP,1014529,3963,GOCL CORPORATION,EQ,NSE,NSE
GODFRYPHLP,GODFRYPHLP,302337,1181,GODFREY PHILLIPS INDIA LT,EQ,NSE,NSE
GODHA,GODHA-BE,412161,1610,GODHA CABCON INSULAT,EQ,NSE,NSE
GODREJAGRO,GODREJAGRO,36865,144,GODREJ AGROVET,EQ,NSE,NSE
GODREJCP,GODREJCP,2585345,10099,GODREJ CONSUMER PRODUCTS,EQ,NSE,NSE
GODREJIND,GODREJIND,2796801,10925,GODREJ INDUSTRIES,EQ,NSE,NSE
GODREJPROP,GODREJPROP,4576001,17875,GODREJ PROPERTIES,EQ,NSE,NSE
GOENKA,GOENKA-BZ,1282561,5010,,EQ,NSE,NSE
GOKEX,GOKEX,3015169,11778,GOKALDAS EXPORTS.,EQ,NSE,NSE
GOKUL,GOKUL,4276481,16705,GOKUL REFOILS & SOLV,EQ,NSE,NSE
GOKULAGRO,GOKULAGRO,3706881,14480,GOKUL AGRO RESOURCES,EQ,NSE,NSE
GOLDENTOBC,GOLDENTOBC-BE,2230273,8712,GOLDEN TOBACCO,EQ,NSE,NSE
GOLDIAM,GOLDIAM,3064577,11971,GOLDIAM INTERNATIONAL,EQ,NSE,NSE
GOLDTECH,GOLDTECH-BE,2528769,9878,GOLDSTONE TECHNOLOGIES LT,EQ,NSE,NSE
GOODLUCK,GOODLUCK,1568001,6125,GOODLUCK INDIA,EQ,NSE,NSE
GOODYEAR,GOODYEAR,308481,1205,GOODYEAR INDIA,EQ,NSE,NSE
GPIL,GPIL-BE,3433473,13412,GODAWARI POW & ISP,EQ,NSE,NSE
GPPL,GPPL,5051137,19731,GUJARAT PIPAVAV PORT,EQ,NSE,NSE
GPTINFRA,GPTINFRA,4527361,17685,GPT INFRAPROJECTS,EQ,NSE,NSE
GRANULES,GRANULES,3039233,11872,GRANULES INDIA,EQ,NSE,NSE
GRAPHITE,GRAPHITE,151553,592,GRAPHITE INDIA,EQ,NSE,NSE
GRASIM,GRASIM,315393,1232,GRASIM INDUSTRIES,EQ,NSE,NSE
GRAUWEIL,GRAUWEIL,1331201,5200,GRAUER & WEIL IND,EQ,NSE,NSE
GRAVITA,GRAVITA,5256705,20534,GRAVITA INDIA,EQ,NSE,NSE
GREAVESCOT,GREAVESCOT,316161,1235,GREAVES COTTON.,EQ,NSE,NSE
GREENLAM,GREENLAM,1753089,6848,GREENLAM INDUSTRIES.,EQ,NSE,NSE
GREENPANEL,GREENPANEL,3535361,13810,GREENPANEL INDUSTRIES,EQ,NSE,NSE
GREENPLY,GREENPLY,1020673,3987,GREENPLY INDUSTRIES,EQ,NSE,NSE
GREENPOWER,GREENPOWER-BE,5149185,20114,ORIENT GREEN POWER CO,EQ,NSE,NSE
GRINDWELL,GRINDWELL,3471361,13560,GRINDWELL NORTON,EQ,NSE,NSE
GRINFRA,GRINFRA,1293825,5054,G R INFRAPROJECTS,EQ,NSE,NSE
GROBTEA,GROBTEA,4549121,17770,THE GROB TEA COMPANY,EQ,NSE,NSE
GRPLTD,GRPLTD,1675009,6543,GRP,EQ,NSE,NSE
GRSE,GRSE,1401601,5475,GARDEN REACH SHIP&ENG,EQ,NSE,NSE
GSCLCEMENT,GSCLCEMENT,7641601,29850,GUJARAT SIDHEE CEM..,EQ,NSE,NSE
GSFC,GSFC,319233,1247,GUJ STATE FERT & CHEM,EQ,NSE,NSE
GSPL,GSPL,3378433,13197,GUJARAT STATE PETRO,EQ,NSE,NSE
GSS,GSS,3928833,15347,GSS INFOTECH,EQ,NSE,NSE
GTL,GTL,297473,1162,GTL,EQ,NSE,NSE
GTLINFRA,GTLINFRA,3518721,13745,GTL INFRA.LTD,EQ,NSE,NSE
GTNTEX,GTNTEX,3449089,13473,GTN TEXTILES,EQ,NSE,NSE
GTPL,GTPL,5425921,21195,GTPL HATHWAY,EQ,NSE,NSE
GUFICBIO,GUFICBIO,2971137,11606,GUFIC BIOSCIENCES.,EQ,NSE,NSE
GUJALKALI,GUJALKALI,324353,1267,GUJARAT ALKALIES & CHEM,EQ,NSE,NSE
GUJAPOLLO,GUJAPOLLO,3757313,14677,GUJ. APOLLO IND..,EQ,NSE,NSE
GUJGASLTD,GUJGASLTD,2713345,10599,GUJARAT GAS,EQ,NSE,NSE
GUJRAFFIA,GUJRAFFIA-BE,2584833,10097,GUJARAT RAFFIA INDUST,EQ,NSE,NSE
GULFOILLUB,GULFOILLUB,1124097,4391,GULF OIL LUB. IND..,EQ,NSE,NSE
GULFPETRO,GULFPETRO,2964737,11581,GP PETROLEUMS,EQ,NSE,NSE
GULPOLY,GULPOLY,1609217,6286,GULSHAN POLYOLS,EQ,NSE,NSE
HAL,HAL,589569,2303,HINDUSTAN AERONAUTICS,EQ,NSE,NSE
HAPPSTMNDS,HAPPSTMNDS-BE,14337,56,HAPPIEST MINDS TECHNO,EQ,NSE,NSE
HARRMALAYA,HARRMALAYA,336129,1313,HARRISON MALAYALAM,EQ,NSE,NSE
HATHWAY,HATHWAY,4647425,18154,HATHWAY CABLE & DATACOM,EQ,NSE,NSE
HATSUN,HATSUN,996353,3892,HATSUN AGRO PRODUCT.,EQ,NSE,NSE
HAVELLS,HAVELLS,2513665,9819,HAVELLS INDIA,EQ,NSE,NSE
HAVISHA,HAVISHA-BE,2154753,8417,SRI HAVISHA HOSP & INFR L,EQ,NSE,NSE
